"date","state","death","deathIncrease","hospitalizedIncrease","inIcuCurrently","positive","positiveIncrease","totalTestResults","totalTestResultsIncrease","totalTestsViral","totalTestsViralIncrease","recovered","State","Income per capital","Democratic advantage","POP_DENS","POP","Year","Month","Temp","Stay at Home Order","Mandatory Quarantine for Travelers","Face Covering Requirement"
2020-03-06,"AK",0,0,0,NA,NA,0,8,0,8,8,NA,"Alaska",63288.6462296795,-21,1802.67194648418,468893,2020,3,NA,NA,NA,NA
2020-03-07,"AK",0,0,0,NA,NA,0,12,4,12,4,NA,"Alaska",63288.6462296795,-21,1802.67194648418,468893,2020,3,NA,NA,NA,NA
2020-03-08,"AK",0,0,0,NA,NA,0,14,2,14,2,NA,"Alaska",63288.6462296795,-21,1802.67194648418,468893,2020,3,NA,NA,NA,NA
2020-03-09,"AK",0,0,1,NA,NA,0,23,9,23,9,NA,"Alaska",63288.6462296795,-21,1802.67194648418,468893,2020,3,NA,NA,NA,NA
2020-03-10,"AK",0,0,0,NA,NA,0,23,0,23,0,NA,"Alaska",63288.6462296795,-21,1802.67194648418,468893,2020,3,NA,NA,NA,NA
2020-03-11,"AK",0,0,0,NA,NA,0,46,23,46,23,NA,"Alaska",63288.6462296795,-21,1802.67194648418,468893,2020,3,NA,NA,NA,NA
2020-03-12,"AK",0,0,0,NA,NA,0,46,0,46,0,NA,"Alaska",63288.6462296795,-21,1802.67194648418,468893,2020,3,NA,NA,NA,NA
2020-03-13,"AK",0,0,0,NA,NA,0,60,14,60,14,NA,"Alaska",63288.6462296795,-21,1802.67194648418,468893,2020,3,NA,NA,NA,NA
2020-03-14,"AK",0,0,0,NA,NA,0,144,84,144,84,NA,"Alaska",63288.6462296795,-21,1802.67194648418,468893,2020,3,NA,NA,NA,NA
2020-03-15,"AK",0,0,0,NA,NA,0,144,0,144,0,NA,"Alaska",63288.6462296795,-21,1802.67194648418,468893,2020,3,NA,NA,NA,NA
2020-03-16,"AK",0,0,0,NA,NA,0,144,0,144,0,NA,"Alaska",63288.6462296795,-21,1802.67194648418,468893,2020,3,NA,NA,NA,NA
2020-03-17,"AK",0,0,0,NA,3,3,337,193,337,193,NA,"Alaska",63288.6462296795,-21,1802.67194648418,468893,2020,3,NA,NA,NA,NA
2020-03-18,"AK",0,0,0,NA,8,5,412,75,412,75,NA,"Alaska",63288.6462296795,-21,1802.67194648418,468893,2020,3,NA,NA,NA,NA
2020-03-19,"AK",0,0,0,NA,11,3,438,26,438,26,NA,"Alaska",63288.6462296795,-21,1802.67194648418,468893,2020,3,NA,NA,NA,NA
2020-03-20,"AK",0,0,0,NA,14,3,698,260,698,260,NA,"Alaska",63288.6462296795,-21,1802.67194648418,468893,2020,3,NA,NA,NA,NA
2020-03-21,"AK",0,0,0,NA,15,1,772,74,772,74,NA,"Alaska",63288.6462296795,-21,1802.67194648418,468893,2020,3,NA,NA,NA,NA
2020-03-22,"AK",0,0,0,NA,25,10,968,196,968,196,NA,"Alaska",63288.6462296795,-21,1802.67194648418,468893,2020,3,NA,NA,NA,NA
2020-03-23,"AK",0,0,0,NA,38,13,968,0,968,0,NA,"Alaska",63288.6462296795,-21,1802.67194648418,468893,2020,3,NA,NA,NA,NA
2020-03-24,"AK",0,0,1,NA,42,4,1022,54,1022,54,NA,"Alaska",63288.6462296795,-21,1802.67194648418,468893,2020,3,NA,NA,NA,NA
2020-03-25,"AK",1,1,1,NA,49,7,1691,669,1691,669,NA,"Alaska",63288.6462296795,-21,1802.67194648418,468893,2020,3,NA,NA,NA,NA
2020-03-26,"AK",1,0,1,NA,63,14,1860,169,1860,169,NA,"Alaska",63288.6462296795,-21,1802.67194648418,468893,2020,3,NA,NA,NA,NA
2020-03-27,"AK",1,0,2,NA,74,11,2388,528,2388,528,NA,"Alaska",63288.6462296795,-21,1802.67194648418,468893,2020,3,NA,NA,NA,NA
2020-03-28,"AK",2,1,4,NA,91,17,2921,533,2921,533,NA,"Alaska",63288.6462296795,-21,1802.67194648418,468893,2020,3,NA,NA,NA,NA
2020-03-29,"AK",2,0,0,NA,110,19,3334,413,3334,413,NA,"Alaska",63288.6462296795,-21,1802.67194648418,468893,2020,3,NA,NA,NA,NA
2020-03-30,"AK",3,1,0,NA,118,8,3654,320,3654,320,NA,"Alaska",63288.6462296795,-21,1802.67194648418,468893,2020,3,NA,NA,NA,NA
2020-03-31,"AK",3,0,2,NA,128,10,3713,59,3713,59,NA,"Alaska",63288.6462296795,-21,1802.67194648418,468893,2020,3,NA,NA,NA,NA
2020-04-01,"AK",3,0,3,NA,141,13,4603,890,4603,890,NA,"Alaska",63288.6462296795,-21,1802.67194648418,468893,2020,4,NA,NA,NA,NA
